file,preset_name,preset_type,category,alpha_mode,alpha_formula,depth_mode,depth_formula,mode_pair,k_alpha,p_alpha,k_depth,color_family,brightness,color_r,color_g,color_b,color_status,color_source_count,default_color_count,color_fields
MeshPreset_BardBaseTrail0_0.json,MeshPreset_BardBaseTrail0_0,mesh,dark,0,Pow,1,Exp,Pow + Exp,6.0,1.7999999523162842,2.5,texture_or_default,unknown,,,,engine_default_or_texture,0,6,
MeshPreset_BardBaseTrail1_0.json,MeshPreset_BardBaseTrail1_0,mesh,fire,0,Pow,0,None,Pow + None,6.0,1.7999999523162842,2.5,texture_or_default,unknown,,,,engine_default_or_texture,0,2,
MeshPreset_BardMelodyShock0_0.json,MeshPreset_BardMelodyShock0_0,mesh,lightning,0,Pow,1,Exp,Pow + Exp,6.0,1.7999999523162842,2.5,texture_or_default,unknown,,,,engine_default_or_texture,0,6,
MeshPreset_BardMelodyShock1_0.json,MeshPreset_BardMelodyShock1_0,mesh,lightning,0,Pow,0,None,Pow + None,6.0,1.7999999523162842,2.5,texture_or_default,unknown,,,,engine_default_or_texture,0,6,
MeshPreset_BardMelodyShock1_1.json,MeshPreset_BardMelodyShock1_1,mesh,lightning,0,Pow,0,None,Pow + None,6.0,1.7999999523162842,2.5,texture_or_default,unknown,,,,engine_default_or_texture,0,6,
MeshPreset_BardMelodyShock1_2.json,MeshPreset_BardMelodyShock1_2,mesh,lightning,0,Pow,0,None,Pow + None,6.0,1.7999999523162842,2.5,texture_or_default,unknown,,,,engine_default_or_texture,0,2,
MeshPreset_BardMelodyShockTrail0_0.json,MeshPreset_BardMelodyShockTrail0_0,mesh,lightning,0,Pow,0,None,Pow + None,7.599999904632568,0.10000000149011612,1.399999976158142,texture_or_default,unknown,,,,engine_default_or_texture,0,3,
MeshPreset_BardPlayMusic_0.json,MeshPreset_BardPlayMusic_0,mesh,magic_circle,0,Pow,1,Exp,Pow + Exp,10.5,0.10000000149011612,1.7000000476837158,texture_or_default,unknown,,,,engine_default_or_texture,0,8,
MeshPreset_BardShockWave0_0.json,MeshPreset_BardShockWave0_0,mesh,lightning,0,Pow,1,Exp,Pow + Exp,6.0,1.7999999523162842,2.5,texture_or_default,unknown,,,,engine_default_or_texture,0,9,
MeshPreset_BardShockWave0_1.json,MeshPreset_BardShockWave0_1,mesh,lightning,0,Pow,1,Exp,Pow + Exp,6.0,1.7999999523162842,2.5,texture_or_default,unknown,,,,engine_default_or_texture,0,9,
